comparison,left,right,left_n,right_n,left_median_ns,right_median_ns,median_ratio_left_over_right,u1,u2,u_min,p_value_two_sided,cliffs_delta
real_exceptions1_vs_branchcontrol,real-exceptions1-realstyle,real-exceptions1-branchcontrol,90,90,565199,880550,0.6419,3811.0,4289.0,3811.0,0.494123,-0.059
real_exceptions2_vs_branchcontrol,real-exceptions2-realstyle,real-exceptions2-branchcontrol,90,90,428350,962500,0.445,2927.0,5173.0,2927.0,0.00131431,-0.2773
real_exceptions3_vs_branchcontrol,real-exceptions3-realstyle,real-exceptions3-branchcontrol,60,60,721650,726800,0.9929,1856.5,1743.5,1743.5,0.76681,0.0314
real_exceptions4_vs_branchcontrol,real-exceptions4-realstyle,real-exceptions4-branchcontrol,60,60,698400,640150,1.091,2123.0,1477.0,1477.0,0.0900154,0.1794
real_exceptions5_vs_branchcontrol,real-exceptions5-realstyle,real-exceptions5-branchcontrol,90,90,898050,905349,0.9919,4094.5,4005.5,4005.5,0.898693,0.011
real_exceptions6_vs_branchcontrol,real-exceptions6-realstyle,real-exceptions6-branchcontrol,60,60,662500,658301,1.0064,1632.0,1968.0,1632.0,0.377899,-0.0933
real_exceptions7_vs_branchcontrol,real-exceptions7-realstyle,real-exceptions7-branchcontrol,90,90,912050,918900,0.9925,4275.5,3824.5,3824.5,0.518835,0.0557
real_exceptions8_vs_branchcontrol,real-exceptions8-realstyle,real-exceptions8-branchcontrol,120,120,370950,1623750,0.2285,6768.0,7632.0,6768.0,0.421794,-0.06
real_exceptions9_vs_branchcontrol,real-exceptions9-realstyle,real-exceptions9-branchcontrol,60,60,773000,683100,1.1316,1699.0,1901.0,1699.0,0.596034,-0.0561
real_exceptions10_vs_branchcontrol,real-exceptions10-realstyle,real-exceptions10-branchcontrol,60,60,651250,619900,1.0506,2039.5,1560.5,1560.5,0.208735,0.1331
real_exceptions11_vs_branchcontrol,real-exceptions11-realstyle,real-exceptions11-branchcontrol,60,60,686700,814801,0.8428,1859.5,1740.5,1740.5,0.754817,0.0331
real_exceptions12_vs_branchcontrol,real-exceptions12-realstyle,real-exceptions12-branchcontrol,60,60,683600,562500,1.2153,2119.0,1481.0,1481.0,0.094068,0.1772
real_exceptions13_vs_branchcontrol,real-exceptions13-realstyle,real-exceptions13-branchcontrol,60,60,714350,662250,1.0787,1925.0,1675.0,1675.0,0.511772,0.0694
real_exceptions14_vs_branchcontrol,real-exceptions14-realstyle,real-exceptions14-branchcontrol,60,60,610000,707100,0.8627,1838.5,1761.5,1761.5,0.839859,0.0214
real_exceptions15_vs_branchcontrol,real-exceptions15-realstyle,real-exceptions15-branchcontrol,60,60,609100,565550,1.077,1777.0,1823.0,1777.0,0.903914,-0.0128
real_exceptions16_vs_branchcontrol,real-exceptions16-realstyle,real-exceptions16-branchcontrol,60,60,606100,535200,1.1325,2089.0,1511.0,1511.0,0.129302,0.1606
real_exceptions18_vs_branchcontrol,real-exceptions18-realstyle,real-exceptions18-branchcontrol,60,60,639150,711700,0.8981,1733.0,1867.0,1733.0,0.725094,-0.0372
real_factories_vs_branchcontrol,real-factories-realstyle,real-factories-branchcontrol,270,210,461449,471800,0.9781,26041.5,30658.5,26041.5,0.125698,-0.0814
real_factories_depth1_real_vs_control,real-factories-depth1-realstyle,real-factories-depth1-branchcontrol,90,90,384749,405000,0.95,4253.0,3847.0,3847.0,0.561394,0.0501
real_factories_depth2_real_vs_control,real-factories-depth2-realstyle,real-factories-depth2-branchcontrol,360,360,403000,396499,1.0164,66049.5,63550.5,63550.5,0.654318,0.0193
