run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators
"real-exceptions10-branchcontrol-run-1","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","76701400","1252502","75448898","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-2","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","78094100","1209000","76885100","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-3","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","72027299","1145399","70881900","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-4","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","75157699","1325400","73832299","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-5","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","71865200","1202800","70662400","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-6","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","70859899","1274199","69585700","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-7","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","78268500","1528000","76740500","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-8","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","71012400","1094100","69918300","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-9","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","70287700","1725900","68561800","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-10","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","68952800","1171500","67781300","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-11","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","74250200","1095000","73155200","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-12","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","70549200","1174600","69374600","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-13","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","72028201","1163300","70864901","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-14","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","71455399","1141501","70313898","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-15","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","70455900","1280001","69175899","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-16","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","73633301","1560100","72073201","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-17","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","69889299","1089801","68799498","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-18","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","70631999","1207600","69424399","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-19","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","70823199","1238402","69584797","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-20","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","75468400","1100401","74367999","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-21","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","74953700","1388999","73564701","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-22","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","73920700","1264600","72656100","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-23","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","70430300","1165699","69264601","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-24","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","72817900","1095100","71722800","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-25","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","70144800","1145301","68999499","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-26","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","72267201","1188001","71079200","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-27","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","79376000","1197900","78178100","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-28","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","71115300","1168300","69947000","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-29","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","70079100","1181401","68897699","2","3","3","3","2"
"real-exceptions10-branchcontrol-run-30","real-exceptions10-branchcontrol","default","research.OpenSourceExceptionCases.exceptions10BranchControl","70020301","1211701","68808600","2","3","3","3","2"
