run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators
"real-exceptions13-realstyle-run-1","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","70595300","1155899","69439401","2","3","3","3","2"
"real-exceptions13-realstyle-run-2","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","75811401","1155002","74656399","2","3","3","3","2"
"real-exceptions13-realstyle-run-3","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","73164800","1643999","71520801","2","3","3","3","2"
"real-exceptions13-realstyle-run-4","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","72005301","1193900","70811401","2","3","3","3","2"
"real-exceptions13-realstyle-run-5","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","71663500","1235901","70427599","2","3","3","3","2"
"real-exceptions13-realstyle-run-6","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","78563499","2003600","76559899","2","3","3","3","2"
"real-exceptions13-realstyle-run-7","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","70826400","1150799","69675601","2","3","3","3","2"
"real-exceptions13-realstyle-run-8","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","73205501","1128700","72076801","2","3","3","3","2"
"real-exceptions13-realstyle-run-9","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","71277100","1248999","70028101","2","3","3","3","2"
"real-exceptions13-realstyle-run-10","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","73644900","1611001","72033899","2","3","3","3","2"
"real-exceptions13-realstyle-run-11","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","80075900","1457699","78618201","2","3","3","3","2"
"real-exceptions13-realstyle-run-12","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","76496800","1238599","75258201","2","3","3","3","2"
"real-exceptions13-realstyle-run-13","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","79390800","1395798","77995002","2","3","3","3","2"
"real-exceptions13-realstyle-run-14","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","73286901","1208901","72078000","2","3","3","3","2"
"real-exceptions13-realstyle-run-15","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","69629800","1109301","68520499","2","3","3","3","2"
"real-exceptions13-realstyle-run-16","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","71667201","1239401","70427800","2","3","3","3","2"
"real-exceptions13-realstyle-run-17","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","69815200","1180100","68635100","2","3","3","3","2"
"real-exceptions13-realstyle-run-18","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","71587000","1756501","69830499","2","3","3","3","2"
"real-exceptions13-realstyle-run-19","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","74655500","1116598","73538902","2","3","3","3","2"
"real-exceptions13-realstyle-run-20","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","77832500","1205599","76626901","2","3","3","3","2"
"real-exceptions13-realstyle-run-21","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","78823499","1519899","77303600","2","3","3","3","2"
"real-exceptions13-realstyle-run-22","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","81204499","1489498","79715001","2","3","3","3","2"
"real-exceptions13-realstyle-run-23","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","75652901","1155901","74497000","2","3","3","3","2"
"real-exceptions13-realstyle-run-24","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","73885400","1133302","72752098","2","3","3","3","2"
"real-exceptions13-realstyle-run-25","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","81661999","1503599","80158400","2","3","3","3","2"
"real-exceptions13-realstyle-run-26","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","82496500","1115700","81380800","2","3","3","3","2"
"real-exceptions13-realstyle-run-27","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","77237300","1591500","75645800","2","3","3","3","2"
"real-exceptions13-realstyle-run-28","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","85171599","2364399","82807200","2","3","3","3","2"
"real-exceptions13-realstyle-run-29","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","77633799","1309100","76324699","2","3","3","3","2"
"real-exceptions13-realstyle-run-30","real-exceptions13-realstyle","default","research.OpenSourceExceptionCases.exceptions13RealStyle","81611701","1137502","80474199","2","3","3","3","2"
