run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators
"real-factories-branchcontrol-run-1","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","108505800","6854601","101651199","7","13","13","13","12"
"real-factories-branchcontrol-run-2","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","104642300","6981001","97661299","7","13","13","13","12"
"real-factories-branchcontrol-run-3","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","100518800","7027597","93491203","7","13","13","13","12"
"real-factories-branchcontrol-run-4","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","114106400","7399299","106707101","7","13","13","13","12"
"real-factories-branchcontrol-run-5","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","121204700","8416198","112788502","7","13","13","13","12"
"real-factories-branchcontrol-run-6","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","111856201","7102398","104753803","7","13","13","13","12"
"real-factories-branchcontrol-run-7","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","104147500","7234502","96912998","7","13","13","13","12"
"real-factories-branchcontrol-run-8","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","98483500","7614297","90869203","7","13","13","13","12"
"real-factories-branchcontrol-run-9","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","99623799","6984998","92638801","7","13","13","13","12"
"real-factories-branchcontrol-run-10","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","108764000","7376599","101387401","7","13","13","13","12"
"real-factories-branchcontrol-run-11","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","106219700","7653700","98566000","7","13","13","13","12"
"real-factories-branchcontrol-run-12","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","104419399","7381499","97037900","7","13","13","13","12"
"real-factories-branchcontrol-run-13","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","109996601","7228303","102768298","7","13","13","13","12"
"real-factories-branchcontrol-run-14","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","111374099","8066001","103308098","7","13","13","13","12"
"real-factories-branchcontrol-run-15","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","102185799","7408402","94777397","7","13","13","13","12"
"real-factories-branchcontrol-run-16","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","103317100","7066400","96250700","7","13","13","13","12"
"real-factories-branchcontrol-run-17","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","105444301","7019298","98425003","7","13","13","13","12"
"real-factories-branchcontrol-run-18","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","108910599","7471299","101439300","7","13","13","13","12"
"real-factories-branchcontrol-run-19","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","102793500","7040301","95753199","7","13","13","13","12"
"real-factories-branchcontrol-run-20","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","101116599","7096900","94019699","7","13","13","13","12"
"real-factories-branchcontrol-run-21","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","100598601","7733599","92865002","7","13","13","13","12"
"real-factories-branchcontrol-run-22","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","110886900","7460699","103426201","7","13","13","13","12"
"real-factories-branchcontrol-run-23","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","102621101","7220299","95400802","7","13","13","13","12"
"real-factories-branchcontrol-run-24","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","102041799","7333804","94707995","7","13","13","13","12"
"real-factories-branchcontrol-run-25","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","111525801","7597800","103928001","7","13","13","13","12"
"real-factories-branchcontrol-run-26","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","111353500","8280099","103073401","7","13","13","13","12"
"real-factories-branchcontrol-run-27","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","112673699","8761501","103912198","7","13","13","13","12"
"real-factories-branchcontrol-run-28","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","112221201","8639102","103582099","7","13","13","13","12"
"real-factories-branchcontrol-run-29","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","106632001","7910202","98721799","7","13","13","13","12"
"real-factories-branchcontrol-run-30","real-factories-branchcontrol","default","research.RealDispatchBenchmarks.factoriesBranchControl","99754899","7538900","92215999","7","13","13","13","12"
