run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators
"real-factories-realstyle-run-1","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","123649900","8787002","114862898","9","17","17","17","16"
"real-factories-realstyle-run-2","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","117487701","6658803","110828898","9","17","17","17","16"
"real-factories-realstyle-run-3","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","134481500","6611000","127870500","9","17","17","17","16"
"real-factories-realstyle-run-4","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","119495100","7275398","112219702","9","17","17","17","16"
"real-factories-realstyle-run-5","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","113549299","6400901","107148398","9","17","17","17","16"
"real-factories-realstyle-run-6","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","123281501","7930203","115351298","9","17","17","17","16"
"real-factories-realstyle-run-7","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","114220500","6453601","107766899","9","17","17","17","16"
"real-factories-realstyle-run-8","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","110287801","6560103","103727698","9","17","17","17","16"
"real-factories-realstyle-run-9","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","116744100","6546199","110197901","9","17","17","17","16"
"real-factories-realstyle-run-10","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","111032500","5865999","105166501","9","17","17","17","16"
"real-factories-realstyle-run-11","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","115066700","6514197","108552503","9","17","17","17","16"
"real-factories-realstyle-run-12","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","124841400","6442704","118398696","9","17","17","17","16"
"real-factories-realstyle-run-13","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","118374400","6982703","111391697","9","17","17","17","16"
"real-factories-realstyle-run-14","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","122544000","6566201","115977799","9","17","17","17","16"
"real-factories-realstyle-run-15","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","117774400","7372798","110401602","9","17","17","17","16"
"real-factories-realstyle-run-16","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","112809099","6490301","106318798","9","17","17","17","16"
"real-factories-realstyle-run-17","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","109962400","6811900","103150500","9","17","17","17","16"
"real-factories-realstyle-run-18","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","124911701","8377698","116534003","9","17","17","17","16"
"real-factories-realstyle-run-19","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","113862700","7233998","106628702","9","17","17","17","16"
"real-factories-realstyle-run-20","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","110052400","6272002","103780398","9","17","17","17","16"
"real-factories-realstyle-run-21","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","122394100","8694199","113699901","9","17","17","17","16"
"real-factories-realstyle-run-22","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","114785501","6408298","108377203","9","17","17","17","16"
"real-factories-realstyle-run-23","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","112025300","6104697","105920603","9","17","17","17","16"
"real-factories-realstyle-run-24","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","110511500","6361200","104150300","9","17","17","17","16"
"real-factories-realstyle-run-25","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","109332200","6335398","102996802","9","17","17","17","16"
"real-factories-realstyle-run-26","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","109594801","6122598","103472203","9","17","17","17","16"
"real-factories-realstyle-run-27","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","118668499","6761500","111906999","9","17","17","17","16"
"real-factories-realstyle-run-28","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","116884600","7479003","109405597","9","17","17","17","16"
"real-factories-realstyle-run-29","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","110807100","6324698","104482402","9","17","17","17","16"
"real-factories-realstyle-run-30","real-factories-realstyle","default","research.RealDispatchBenchmarks.factoriesRealStyle","108929400","6897196","102032204","9","17","17","17","16"
