comparison,left,right,left_runs,right_runs,median_total_elapsed_left_ns,median_total_elapsed_right_ns,elapsed_ratio_left_over_right,elapsed_p_value_two_sided,elapsed_cliffs_delta,median_total_solver_left_ns,median_total_solver_right_ns,solver_ratio_left_over_right,solver_p_value_two_sided,solver_cliffs_delta,median_engine_left_ns,median_engine_right_ns,engine_ratio_left_over_right,engine_p_value_two_sided,engine_cliffs_delta,u_elapsed_min,u_solver_min,u_engine_min
real_exceptions1_vs_branchcontrol,real-exceptions1-realstyle,real-exceptions1-branchcontrol,30,30,77967200,77865949,1.0013,0.767468,-0.0444,1852599,3239050,0.572,0.496452,-0.1022,75445251,74852900,1.0079,0.668106,0.0644,430.0,404.0,421.0
real_exceptions2_vs_branchcontrol,real-exceptions2-realstyle,real-exceptions2-branchcontrol,30,30,81641900,79157550,1.0314,0.00256114,0.4533,1762651,3442849,0.512,4.9898e-07,-0.7556,79454198,75644199,1.0504,1.2923e-05,0.6556,246.0,110.0,155.0
real_exceptions3_vs_branchcontrol,real-exceptions3-realstyle,real-exceptions3-branchcontrol,30,30,75653999,75440000,1.0028,0.917573,0.0156,1289600,1293449,0.997,0.988204,0.0022,74224000,74175549,1.0007,0.988204,0.0022,443.0,449.0,449.0
real_exceptions4_vs_branchcontrol,real-exceptions4-realstyle,real-exceptions4-branchcontrol,30,30,77561850,73281399,1.0584,0.000484606,0.5244,1259300,1222849,1.0298,0.0246252,0.3378,76157249,72097799,1.0563,0.000749369,0.5067,214.0,298.0,222.0
real_exceptions5_vs_branchcontrol,real-exceptions5-realstyle,real-exceptions5-branchcontrol,30,30,75960400,76255000,0.9961,0.711673,0.0556,3251501,3196050,1.0173,0.615196,0.0756,72839800,72831448,1.0001,0.801555,0.0378,425.0,416.0,433.0
real_exceptions6_vs_branchcontrol,real-exceptions6-realstyle,real-exceptions6-branchcontrol,30,30,75037350,77069350,0.9736,0.00623578,-0.4111,1256450,1275100,0.9854,0.203565,-0.1911,73839501,75726649,0.9751,0.00569773,-0.4156,265.0,364.0,263.0
real_exceptions7_vs_branchcontrol,real-exceptions7-realstyle,real-exceptions7-branchcontrol,30,30,81672300,78159849,1.0449,0.0689901,0.2733,3410550,3255449,1.0476,0.0320536,0.3222,77482299,74925999,1.0341,0.10707,0.2422,327.0,305.0,341.0
real_exceptions8_vs_branchcontrol,real-exceptions8-realstyle,real-exceptions8-branchcontrol,30,30,80387899,77517100,1.037,0.00412843,0.4311,3774549,5424399,0.6958,4.00553e-10,-0.94,76814949,72080800,1.0657,2.51375e-05,0.6333,256.0,27.0,165.0
real_exceptions9_vs_branchcontrol,real-exceptions9-realstyle,real-exceptions9-branchcontrol,30,30,72949200,76354099,0.9554,1.58127e-05,-0.6489,1243599,1273650,0.9764,0.450846,-0.1133,71726000,75149651,0.9544,1.05414e-05,-0.6622,158.0,399.0,152.0
real_exceptions10_vs_branchcontrol,real-exceptions10-realstyle,real-exceptions10-branchcontrol,30,30,73821299,71660299,1.0302,0.00296185,0.4467,1290998,1192950,1.0822,0.0153233,0.3644,72490099,70488149,1.0284,0.00432549,0.4289,249.0,286.0,257.0
