benchmark,runs,median_total_elapsed_ns,median_total_solver_time_ns,median_engine_time_ns,median_completed_paths,median_new_states,median_state_advanced_events,median_choice_generators,median_pc_choice_generators
real-exceptions1-branchcontrol,30,77865949,3239050,74852900,3,5,5,5,4
real-exceptions1-realstyle,30,77967200,1852599,75445251,3,5,5,5,4
real-exceptions10-branchcontrol,30,71660299,1192950,70488149,2,3,3,3,2
real-exceptions10-realstyle,30,73821299,1290998,72490099,2,3,3,3,2
real-exceptions11-branchcontrol,30,72405900,1202950,71226100,2,3,3,3,2
real-exceptions11-realstyle,30,72035749,1226349,70889949,2,3,3,3,2
real-exceptions12-branchcontrol,30,70851100,1161900,69666050,2,3,3,3,2
real-exceptions12-realstyle,30,72061700,1213250,70824449,2,3,3,3,2
real-exceptions13-branchcontrol,30,74958250,1220400,73736550,2,3,3,3,2
real-exceptions13-realstyle,30,75154200,1237250,74017951,2,3,3,3,2
real-exceptions14-branchcontrol,30,71368700,1189550,70186299,2,3,3,3,2
real-exceptions14-realstyle,30,71961900,1211400,70721450,2,3,3,3,2
real-exceptions15-branchcontrol,30,71148050,1173950,70024500,2,3,3,3,2
real-exceptions15-realstyle,30,72197500,1161501,71070298,2,3,3,3,2
real-exceptions16-branchcontrol,30,71439199,1132100,70228349,2,3,3,3,2
real-exceptions16-realstyle,30,71362450,1166750,70191049,2,3,3,3,2
real-exceptions18-branchcontrol,30,75360700,1216100,74080150,2,3,3,3,2
real-exceptions18-realstyle,30,73784550,1204049,72611450,2,3,3,3,2
real-exceptions2-branchcontrol,30,79157550,3442849,75644199,3,5,5,5,4
real-exceptions2-realstyle,30,81641900,1762651,79454198,3,5,5,5,4
real-exceptions3-branchcontrol,30,75440000,1293449,74175549,2,3,3,3,2
real-exceptions3-realstyle,30,75653999,1289600,74224000,2,3,3,3,2
real-exceptions4-branchcontrol,30,73281399,1222849,72097799,2,3,3,3,2
real-exceptions4-realstyle,30,77561850,1259300,76157249,2,3,3,3,2
real-exceptions5-branchcontrol,30,76255000,3196050,72831448,3,5,5,5,4
real-exceptions5-realstyle,30,75960400,3251501,72839800,3,5,5,5,4
real-exceptions6-branchcontrol,30,77069350,1275100,75726649,2,3,3,3,2
real-exceptions6-realstyle,30,75037350,1256450,73839501,2,3,3,3,2
real-exceptions7-branchcontrol,30,78159849,3255449,74925999,3,5,5,5,4
real-exceptions7-realstyle,30,81672300,3410550,77482299,3,5,5,5,4
real-exceptions8-branchcontrol,30,77517100,5424399,72080800,4,7,7,7,6
real-exceptions8-realstyle,30,80387899,3774549,76814949,4,7,7,7,6
real-exceptions9-branchcontrol,30,76354099,1273650,75149651,2,3,3,3,2
real-exceptions9-realstyle,30,72949200,1243599,71726000,2,3,3,3,2
real-factories-branchcontrol,30,105832000,7390399,98495501,7,13,13,13,12
real-factories-depth1-branchcontrol,30,93626350,1701399,91870500,3,5,5,5,4
real-factories-depth1-realstyle,30,94188850,3343549,91622049,3,5,5,5,4
real-factories-depth2-branchcontrol,30,119115649,5393501,113776297,12,23,23,23,22
real-factories-depth2-realstyle,30,127096350,5545449,121353702,12,23,23,23,22
real-factories-realstyle,30,114926100,6563152,108464853,9,17,17,17,16
