benchmark,paths,unique_runs,median_solver_time_ns,mean_solver_time_ns,stdev_solver_time_ns,min_solver_time_ns,max_solver_time_ns,median_constraint_count,mean_constraint_count
real-exceptions1-branchcontrol,90,30,880550,1008637.88,835681.44,197800,4571200,2,1.67
real-exceptions1-realstyle,90,30,565199,808482.24,637758.62,222300,2680799,2,1.67
real-exceptions10-branchcontrol,60,30,619900,616441.8,318221.34,254001,1281700,1,1
real-exceptions10-realstyle,60,30,651250,663095.03,363616.46,255501,1740200,1,1
real-exceptions11-branchcontrol,60,30,814801,643846.63,347983.42,244600,1826400,1,1
real-exceptions11-realstyle,60,30,686700,633980.08,314842.9,279600,1222600,1,1
real-exceptions12-branchcontrol,60,30,562500,583326.77,311594.29,229900,1392199,1,1
real-exceptions12-realstyle,60,30,683600,663364.92,390888.2,225600,1852600,1,1
real-exceptions13-branchcontrol,60,30,662250,655110.07,393865.78,244600,2163100,1,1
real-exceptions13-realstyle,60,30,714350,679278.28,369526.78,260000,1766400,1,1
real-exceptions14-branchcontrol,60,30,707100,644383.38,391050.94,253500,1725400,1,1
real-exceptions14-realstyle,60,30,610000,619281.55,335426.76,228801,1406700,1,1
real-exceptions15-branchcontrol,60,30,565550,625863.33,388254.76,228300,1961900,1,1
real-exceptions15-realstyle,60,30,609100,596491.75,319950.71,227600,1217400,1,1
real-exceptions16-branchcontrol,60,30,535200,569113.35,320634.51,222100,1169000,1,1
real-exceptions16-realstyle,60,30,606100,593501.73,324386.24,231701,1281799,1,1
real-exceptions18-branchcontrol,60,30,711700,639346.63,348756.54,245800,1359000,1,1
real-exceptions18-realstyle,60,30,639150,661960.03,448506.6,230899,2731800,1,1
real-exceptions2-branchcontrol,90,30,962500,1250844.47,888356.82,220800,3593999,2,1.67
real-exceptions2-realstyle,90,30,428350,739031.08,633113.0,259700,4410400,2,1.67
real-exceptions3-branchcontrol,60,30,726800,688476.73,363799.38,283801,1653700,1,1
real-exceptions3-realstyle,60,30,721650,681626.53,335216.01,262700,1729799,1,1
real-exceptions4-branchcontrol,60,30,640150,618698.37,301594.23,257600,1236899,1,1
real-exceptions4-realstyle,60,30,698400,661274.92,321964.15,261200,1379199,1,1
real-exceptions5-branchcontrol,90,30,905349,1141844.53,799552.36,208800,3598799,2,1.67
real-exceptions5-realstyle,90,30,898050,1137425.59,811460.84,204501,3759400,2,1.67
real-exceptions6-branchcontrol,60,30,658301,660846.68,334456.02,243799,1294000,1,1
real-exceptions6-realstyle,60,30,662500,644086.72,326902.29,253200,1265999,1,1
real-exceptions7-branchcontrol,90,30,918900,1099558.96,746022.68,201901,2474700,2,1.67
real-exceptions7-realstyle,90,30,912050,1239713.3,931831.26,215900,3765900,2,1.67
real-exceptions8-branchcontrol,120,30,1623750,1414625.05,1145478.64,181200,3588200,2,2.25
real-exceptions8-realstyle,120,30,370950,983824.91,1118773.77,237300,4059500,2,2.25
real-exceptions9-branchcontrol,60,30,683100,689023.4,410925.85,253100,2177100,1,1
real-exceptions9-realstyle,60,30,773000,649606.77,344270.22,226499,1689600,1,1
real-factories-branchcontrol,210,30,471800,1070950.47,982313.6,270400,3676700,3,3
real-factories-depth1-branchcontrol,90,30,405000,597353.31,331570.37,308401,1864900,2,1.67
real-factories-depth1-realstyle,90,30,384749,995935.64,1000152.33,302099,3567700,2,1.67
real-factories-depth2-branchcontrol,360,30,396499,457439.17,200544.71,217999,1639401,4,3.83
real-factories-depth2-realstyle,360,30,403000,468742.75,215070.96,259800,1645001,4,3.83
real-factories-realstyle,270,30,461449,761638.88,751168.53,292400,4158500,4,3.56
