run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators,branches_covered,max_queue_size,gc_cycles,heap_allocations_bytes,reproducible_seed
"real-commonscodec-branchcontrol-run-1","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","87694900","1665100","86029800","4","7","7","7","6","78","0","0","7927872","42"
"real-commonscodec-branchcontrol-run-2","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","96191600","2019000","94172600","4","7","7","7","6","78","0","0","7927200","42"
"real-commonscodec-branchcontrol-run-3","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","92901800","1875600","91026200","4","7","7","7","6","78","0","0","7927720","42"
"real-commonscodec-branchcontrol-run-4","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","85628100","1970300","83657800","4","7","7","7","6","78","0","0","7927728","42"
"real-commonscodec-branchcontrol-run-5","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","87726900","1711000","86015900","4","7","7","7","6","78","0","0","7927656","42"
"real-commonscodec-branchcontrol-run-6","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","84926100","1781100","83145000","4","7","7","7","6","78","0","0","7927784","42"
"real-commonscodec-branchcontrol-run-7","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","88253300","1868000","86385300","4","7","7","7","6","78","0","0","7927664","42"
"real-commonscodec-branchcontrol-run-8","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","87506700","1766600","85740100","4","7","7","7","6","78","0","0","7927672","42"
"real-commonscodec-branchcontrol-run-9","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","96540200","1702700","94837500","4","7","7","7","6","78","0","0","7927520","42"
"real-commonscodec-branchcontrol-run-10","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","86377100","1655400","84721700","4","7","7","7","6","78","0","0","7935872","42"
"real-commonscodec-branchcontrol-run-11","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","95877300","1705300","94172000","4","7","7","7","6","78","0","0","7935816","42"
"real-commonscodec-branchcontrol-run-12","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","85816100","1629400","84186700","4","7","7","7","6","78","0","0","7927656","42"
"real-commonscodec-branchcontrol-run-13","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","86013300","1606500","84406800","4","7","7","7","6","78","0","0","7927472","42"
"real-commonscodec-branchcontrol-run-14","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","85194600","1630200","83564400","4","7","7","7","6","78","0","0","7927472","42"
"real-commonscodec-branchcontrol-run-15","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","84876200","1578500","83297700","4","7","7","7","6","78","0","0","7927712","42"
"real-commonscodec-branchcontrol-run-16","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","94305100","1656300","92648800","4","7","7","7","6","78","0","0","7927400","42"
"real-commonscodec-branchcontrol-run-17","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","88313800","1806800","86507000","4","7","7","7","6","78","0","0","7927552","42"
"real-commonscodec-branchcontrol-run-18","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","88644300","1904600","86739700","4","7","7","7","6","78","0","0","7927512","42"
"real-commonscodec-branchcontrol-run-19","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","87932300","1670600","86261700","4","7","7","7","6","78","0","0","7927336","42"
"real-commonscodec-branchcontrol-run-20","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","84342600","1636000","82706600","4","7","7","7","6","78","0","0","7927648","42"
"real-commonscodec-branchcontrol-run-21","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","91199200","1900100","89299100","4","7","7","7","6","78","0","0","7927200","42"
"real-commonscodec-branchcontrol-run-22","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","87983500","1642000","86341500","4","7","7","7","6","78","0","0","7935800","42"
"real-commonscodec-branchcontrol-run-23","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","89530500","1685900","87844600","4","7","7","7","6","78","0","0","7927704","42"
"real-commonscodec-branchcontrol-run-24","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","87696900","1708700","85988200","4","7","7","7","6","78","0","0","7927648","42"
"real-commonscodec-branchcontrol-run-25","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","86646300","1761000","84885300","4","7","7","7","6","78","0","0","7927200","42"
"real-commonscodec-branchcontrol-run-26","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","87584200","1707900","85876300","4","7","7","7","6","78","0","0","7927848","42"
"real-commonscodec-branchcontrol-run-27","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","88249200","1808300","86440900","4","7","7","7","6","78","0","0","7927200","42"
"real-commonscodec-branchcontrol-run-28","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","94774100","1898300","92875800","4","7","7","7","6","78","0","0","7927656","42"
"real-commonscodec-branchcontrol-run-29","real-commonscodec-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecControl","92699900","1947400","90752500","4","7","7","7","6","78","0","0","7927336","42"
