run_id,benchmark,search_strategy,method_label,path_index,status,state_id,depth,constraint_count,solver_time_ns,sat,has_exception,has_loop,has_division,has_nested_branch,has_dispatch,branches_covered,pc
"real-commonscodec-realstyle-run-1","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","1","END","2","-1","2","1098600","true","false","false","false","true","false","68","constraint # = 2 b2_2_SYMINT >= CONST_65 && b1_1_SYMINT >= CONST_65"
"real-commonscodec-realstyle-run-1","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","2","END","3","-1","2","290600","true","false","false","false","true","false","73","constraint # = 2 b2_2_SYMINT < CONST_65 && b1_1_SYMINT >= CONST_65"
"real-commonscodec-realstyle-run-1","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","3","END","4","-1","1","223500","true","false","false","false","true","false","73","constraint # = 1 b1_1_SYMINT < CONST_65"
"real-commonscodec-realstyle-run-2","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","1","END","2","-1","2","923500","true","false","false","false","true","false","68","constraint # = 2 b2_2_SYMINT >= CONST_65 && b1_1_SYMINT >= CONST_65"
"real-commonscodec-realstyle-run-2","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","2","END","3","-1","2","259300","true","false","false","false","true","false","73","constraint # = 2 b2_2_SYMINT < CONST_65 && b1_1_SYMINT >= CONST_65"
"real-commonscodec-realstyle-run-2","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","3","END","4","-1","1","148300","true","false","false","false","true","false","73","constraint # = 1 b1_1_SYMINT < CONST_65"
"real-commonscodec-realstyle-run-3","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","1","END","2","-1","2","1127700","true","false","false","false","true","false","68","constraint # = 2 b2_2_SYMINT >= CONST_65 && b1_1_SYMINT >= CONST_65"
"real-commonscodec-realstyle-run-3","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","2","END","3","-1","2","258200","true","false","false","false","true","false","73","constraint # = 2 b2_2_SYMINT < CONST_65 && b1_1_SYMINT >= CONST_65"
"real-commonscodec-realstyle-run-3","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","3","END","4","-1","1","247900","true","false","false","false","true","false","73","constraint # = 1 b1_1_SYMINT < CONST_65"
"real-commonscodec-realstyle-run-4","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","1","END","2","-1","2","1329900","true","false","false","false","true","false","68","constraint # = 2 b2_2_SYMINT >= CONST_65 && b1_1_SYMINT >= CONST_65"
