run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators,branches_covered,max_queue_size,gc_cycles,heap_allocations_bytes,reproducible_seed
"real-commonscodec-realstyle-run-1","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","80221800","1612700","78609100","3","5","5","5","4","73","0","0","7935408","42"
"real-commonscodec-realstyle-run-2","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","84053700","1331100","82722600","3","5","5","5","4","73","0","0","7928224","42"
"real-commonscodec-realstyle-run-3","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","81169900","1633800","79536100","3","5","5","5","4","73","0","0","7927224","42"
"real-commonscodec-realstyle-run-4","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","88728500","1921300","86807200","3","5","5","5","4","73","0","0","7927656","42"
"real-commonscodec-realstyle-run-5","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","91289200","2587400","88701800","3","5","5","5","4","73","0","0","7927592","42"
"real-commonscodec-realstyle-run-6","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","98370400","2084300","96286100","3","5","5","5","4","73","0","0","7928056","42"
"real-commonscodec-realstyle-run-7","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","86956800","1875300","85081500","3","5","5","5","4","73","0","0","7935552","42"
"real-commonscodec-realstyle-run-8","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","91935800","1961100","89974700","3","5","5","5","4","73","0","0","7927560","42"
"real-commonscodec-realstyle-run-9","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","80898600","1260600","79638000","3","5","5","5","4","73","0","0","7927416","42"
"real-commonscodec-realstyle-run-10","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","82144200","1413800","80730400","3","5","5","5","4","73","0","0","7927400","42"
"real-commonscodec-realstyle-run-11","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","80642100","1348700","79293400","3","5","5","5","4","73","0","0","7935608","42"
"real-commonscodec-realstyle-run-12","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","79401700","1348700","78053000","3","5","5","5","4","73","0","0","7927624","42"
"real-commonscodec-realstyle-run-13","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","84112000","1436300","82675700","3","5","5","5","4","73","0","0","7927896","42"
"real-commonscodec-realstyle-run-14","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","81054100","1377800","79676300","3","5","5","5","4","73","0","0","7927344","42"
"real-commonscodec-realstyle-run-15","real-commonscodec-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCodecReal","83766200","1413300","82352900","3","5","5","5","4","73","0","0","7935624","42"
