run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators,branches_covered,max_queue_size,gc_cycles,heap_allocations_bytes,reproducible_seed
"real-commonscollections-branchcontrol-run-1","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","74361600","1463000","72898600","2","3","3","3","2","68","0","0","7927440","42"
"real-commonscollections-branchcontrol-run-2","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","74059200","1387800","72671400","2","3","3","3","2","68","0","0","7927600","42"
"real-commonscollections-branchcontrol-run-3","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","73170000","1215400","71954600","2","3","3","3","2","68","0","0","7927304","42"
"real-commonscollections-branchcontrol-run-4","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","70903900","1299600","69604300","2","3","3","3","2","68","0","0","7927536","42"
"real-commonscollections-branchcontrol-run-5","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","78198200","1369500","76828700","2","3","3","3","2","68","0","0","7927776","42"
"real-commonscollections-branchcontrol-run-6","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","76157800","1532600","74625200","2","3","3","3","2","68","0","0","7927640","42"
"real-commonscollections-branchcontrol-run-7","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","81589100","2047400","79541700","2","3","3","3","2","68","0","0","7927704","42"
"real-commonscollections-branchcontrol-run-8","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","73470300","1271000","72199300","2","3","3","3","2","68","0","0","7927488","42"
"real-commonscollections-branchcontrol-run-9","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","72695900","1303800","71392100","2","3","3","3","2","68","0","0","7927640","42"
"real-commonscollections-branchcontrol-run-10","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","79882000","1638600","78243400","2","3","3","3","2","68","0","0","7927632","42"
"real-commonscollections-branchcontrol-run-11","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","74727000","1209500","73517500","2","3","3","3","2","68","0","0","7927408","42"
"real-commonscollections-branchcontrol-run-12","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","77188100","1253900","75934200","2","3","3","3","2","68","0","0","7927752","42"
"real-commonscollections-branchcontrol-run-13","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","75752800","1591700","74161100","2","3","3","3","2","68","0","0","7927472","42"
"real-commonscollections-branchcontrol-run-14","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","73911800","1383100","72528700","2","3","3","3","2","68","0","0","7927608","42"
"real-commonscollections-branchcontrol-run-15","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","71388600","1316400","70072200","2","3","3","3","2","68","0","0","7927592","42"
"real-commonscollections-branchcontrol-run-16","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","71311800","1254300","70057500","2","3","3","3","2","68","0","0","7927856","42"
"real-commonscollections-branchcontrol-run-17","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","77048400","1438500","75609900","2","3","3","3","2","68","0","0","7927456","42"
"real-commonscollections-branchcontrol-run-18","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","76283100","1149400","75133700","2","3","3","3","2","68","0","0","7927264","42"
"real-commonscollections-branchcontrol-run-19","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","77250600","1371200","75879400","2","3","3","3","2","68","0","0","7927544","42"
"real-commonscollections-branchcontrol-run-20","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","74585700","1451200","73134500","2","3","3","3","2","68","0","0","7927600","42"
"real-commonscollections-branchcontrol-run-21","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","73299000","1277000","72022000","2","3","3","3","2","68","0","0","7927264","42"
"real-commonscollections-branchcontrol-run-22","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","72913300","1324500","71588800","2","3","3","3","2","68","0","0","7927544","42"
"real-commonscollections-branchcontrol-run-23","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","75192500","1280500","73912000","2","3","3","3","2","68","0","0","7927384","42"
"real-commonscollections-branchcontrol-run-24","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","76137400","1323200","74814200","2","3","3","3","2","68","0","0","7927256","42"
"real-commonscollections-branchcontrol-run-25","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","75166900","1545100","73621800","2","3","3","3","2","68","0","0","7927512","42"
"real-commonscollections-branchcontrol-run-26","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","77845400","1294800","76550600","2","3","3","3","2","68","0","0","7927264","42"
"real-commonscollections-branchcontrol-run-27","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","73793700","1389500","72404200","2","3","3","3","2","68","0","0","7927512","42"
"real-commonscollections-branchcontrol-run-28","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","76235700","1267200","74968500","2","3","3","3","2","68","0","0","7927408","42"
"real-commonscollections-branchcontrol-run-29","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","77792900","1603500","76189400","2","3","3","3","2","68","0","0","7927512","42"
"real-commonscollections-branchcontrol-run-30","real-commonscollections-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsControl","76279100","1317600","74961500","2","3","3","3","2","68","0","0","7927512","42"
