run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators,branches_covered,max_queue_size,gc_cycles,heap_allocations_bytes,reproducible_seed
"real-commonscollections-realstyle-run-1","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","71495500","1181800","70313700","2","3","3","3","2","68","0","0","7927568","42"
"real-commonscollections-realstyle-run-2","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","74674200","1331100","73343100","2","3","3","3","2","68","0","0","7927512","42"
"real-commonscollections-realstyle-run-3","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","74674100","1274000","73400100","2","3","3","3","2","68","0","0","7928152","42"
"real-commonscollections-realstyle-run-4","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","72541200","1309500","71231700","2","3","3","3","2","68","0","0","7927512","42"
"real-commonscollections-realstyle-run-5","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","76599500","1361000","75238500","2","3","3","3","2","68","0","0","7927576","42"
"real-commonscollections-realstyle-run-6","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","72824400","1253000","71571400","2","3","3","3","2","68","0","0","7979784","42"
"real-commonscollections-realstyle-run-7","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","72825100","1254000","71571100","2","3","3","3","2","68","0","0","7927432","42"
"real-commonscollections-realstyle-run-8","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","72890000","1739500","71150500","2","3","3","3","2","68","0","0","7927344","42"
"real-commonscollections-realstyle-run-9","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","73833100","1263500","72569600","2","3","3","3","2","68","0","0","7927568","42"
"real-commonscollections-realstyle-run-10","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","77710200","1392400","76317800","2","3","3","3","2","68","0","0","7927504","42"
"real-commonscollections-realstyle-run-11","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","73645100","1239900","72405200","2","3","3","3","2","68","0","0","7927720","42"
"real-commonscollections-realstyle-run-12","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","84011700","1454400","82557300","2","3","3","3","2","68","0","0","7927376","42"
"real-commonscollections-realstyle-run-13","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","76215700","1337100","74878600","2","3","3","3","2","68","0","0","7927496","42"
"real-commonscollections-realstyle-run-14","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","77958300","1457500","76500800","2","3","3","3","2","68","0","0","7927616","42"
"real-commonscollections-realstyle-run-15","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","75112300","1716900","73395400","2","3","3","3","2","68","0","0","7927608","42"
"real-commonscollections-realstyle-run-16","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","71577300","1403200","70174100","2","3","3","3","2","68","0","0","7927608","42"
"real-commonscollections-realstyle-run-17","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","73939900","1282600","72657300","2","3","3","3","2","68","0","0","7927480","42"
"real-commonscollections-realstyle-run-18","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","73158700","1198100","71960600","2","3","3","3","2","68","0","0","7927480","42"
"real-commonscollections-realstyle-run-19","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","75621200","1467200","74154000","2","3","3","3","2","68","0","0","7927656","42"
"real-commonscollections-realstyle-run-20","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","72462400","1166700","71295700","2","3","3","3","2","68","0","0","7927464","42"
"real-commonscollections-realstyle-run-21","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","78404500","1528600","76875900","2","3","3","3","2","68","0","0","7927496","42"
"real-commonscollections-realstyle-run-22","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","73264300","1252700","72011600","2","3","3","3","2","68","0","0","7927440","42"
"real-commonscollections-realstyle-run-23","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","73513600","1277400","72236200","2","3","3","3","2","68","0","0","7927688","42"
"real-commonscollections-realstyle-run-24","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","75211900","1357800","73854100","2","3","3","3","2","68","0","0","7927352","42"
"real-commonscollections-realstyle-run-25","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","75588300","1272000","74316300","2","3","3","3","2","68","0","0","7927448","42"
"real-commonscollections-realstyle-run-26","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","76245700","1802400","74443300","2","3","3","3","2","68","0","0","7927448","42"
"real-commonscollections-realstyle-run-27","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","75333100","1781600","73551500","2","3","3","3","2","68","0","0","7927496","42"
"real-commonscollections-realstyle-run-28","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","78505800","1476100","77029700","2","3","3","3","2","68","0","0","7927848","42"
"real-commonscollections-realstyle-run-29","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","74372100","1244900","73127200","2","3","3","3","2","68","0","0","7927360","42"
"real-commonscollections-realstyle-run-30","real-commonscollections-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsCollectionsReal","74333100","1201700","73131400","2","3","3","3","2","68","0","0","7927560","42"
