run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators,branches_covered,max_queue_size,gc_cycles,heap_allocations_bytes,reproducible_seed
"real-commonsio-branchcontrol-run-1","real-commonsio-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoControl","81042200","2157200","78885000","5","9","9","9","8","71","0","0","7927456","42"
"real-commonsio-branchcontrol-run-2","real-commonsio-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoControl","81495700","2184000","79311700","5","9","9","9","8","71","0","0","7927360","42"
"real-commonsio-branchcontrol-run-3","real-commonsio-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoControl","80341100","2027500","78313600","5","9","9","9","8","71","0","0","7927952","42"
"real-commonsio-branchcontrol-run-4","real-commonsio-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoControl","83142400","2374500","80767900","5","9","9","9","8","71","0","0","7927808","42"
"real-commonsio-branchcontrol-run-5","real-commonsio-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoControl","79641400","2221300","77420100","5","9","9","9","8","71","0","0","7927312","42"
"real-commonsio-branchcontrol-run-6","real-commonsio-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoControl","83399500","2291100","81108400","5","9","9","9","8","71","0","0","7927320","42"
"real-commonsio-branchcontrol-run-7","real-commonsio-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoControl","82609700","2186500","80423200","5","9","9","9","8","71","0","0","7927240","42"
"real-commonsio-branchcontrol-run-8","real-commonsio-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoControl","78102000","1941200","76160800","5","9","9","9","8","71","0","0","7927376","42"
"real-commonsio-branchcontrol-run-9","real-commonsio-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoControl","80625600","2332400","78293200","5","9","9","9","8","71","0","0","7927512","42"
"real-commonsio-branchcontrol-run-10","real-commonsio-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoControl","77261800","2059400","75202400","5","9","9","9","8","71","0","0","7927400","42"
"real-commonsio-branchcontrol-run-11","real-commonsio-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoControl","84815400","2607800","82207600","5","9","9","9","8","71","0","0","7927544","42"
"real-commonsio-branchcontrol-run-12","real-commonsio-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoControl","79572400","2079500","77492900","5","9","9","9","8","71","0","0","7927352","42"
"real-commonsio-branchcontrol-run-13","real-commonsio-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoControl","86745000","2575400","84169600","5","9","9","9","8","71","0","0","7927640","42"
"real-commonsio-branchcontrol-run-14","real-commonsio-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoControl","82691800","2281800","80410000","5","9","9","9","8","71","0","0","7927600","42"
"real-commonsio-branchcontrol-run-15","real-commonsio-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoControl","83942800","2320500","81622300","5","9","9","9","8","71","0","0","7927760","42"
"real-commonsio-branchcontrol-run-16","real-commonsio-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoControl","87495700","2265800","85229900","5","9","9","9","8","71","0","0","7927424","42"
"real-commonsio-branchcontrol-run-17","real-commonsio-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoControl","81295700","2129900","79165800","5","9","9","9","8","71","0","0","7927512","42"
