run_id,benchmark,search_strategy,method_label,path_index,status,state_id,depth,constraint_count,solver_time_ns,sat,has_exception,has_loop,has_division,has_nested_branch,has_dispatch,branches_covered,pc
"real-commonsio-realstyle-run-1","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","1","END","4","-1","4","974700","true","false","false","false","true","false","71","constraint # = 4 pathChar2_2_SYMINT == CONST_92 && pathChar2_2_SYMINT != CONST_47 && pathChar1_1_SYMINT != CONST_92 && pathChar1_1_SYMINT != CONST_47"
"real-commonsio-realstyle-run-1","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","2","END","5","-1","4","391000","true","false","false","false","true","false","71","constraint # = 4 pathChar2_2_SYMINT != CONST_92 && pathChar2_2_SYMINT != CONST_47 && pathChar1_1_SYMINT != CONST_92 && pathChar1_1_SYMINT != CONST_47"
"real-commonsio-realstyle-run-1","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","3","END","6","-1","3","374500","true","false","false","false","true","false","71","constraint # = 3 pathChar2_2_SYMINT == CONST_47 && pathChar1_1_SYMINT != CONST_92 && pathChar1_1_SYMINT != CONST_47"
"real-commonsio-realstyle-run-1","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","4","END","7","-1","2","226900","true","false","false","false","true","false","71","constraint # = 2 pathChar1_1_SYMINT == CONST_92 && pathChar1_1_SYMINT != CONST_47"
"real-commonsio-realstyle-run-1","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","5","END","8","-1","1","183800","true","false","false","false","true","false","71","constraint # = 1 pathChar1_1_SYMINT == CONST_47"
"real-commonsio-realstyle-run-2","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","1","END","4","-1","4","1086600","true","false","false","false","true","false","71","constraint # = 4 pathChar2_2_SYMINT == CONST_92 && pathChar2_2_SYMINT != CONST_47 && pathChar1_1_SYMINT != CONST_92 && pathChar1_1_SYMINT != CONST_47"
"real-commonsio-realstyle-run-2","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","2","END","5","-1","4","439100","true","false","false","false","true","false","71","constraint # = 4 pathChar2_2_SYMINT != CONST_92 && pathChar2_2_SYMINT != CONST_47 && pathChar1_1_SYMINT != CONST_92 && pathChar1_1_SYMINT != CONST_47"
"real-commonsio-realstyle-run-2","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","3","END","6","-1","3","364400","true","false","false","false","true","false","71","constraint # = 3 pathChar2_2_SYMINT == CONST_47 && pathChar1_1_SYMINT != CONST_92 && pathChar1_1_SYMINT != CONST_47"
"real-commonsio-realstyle-run-2","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","4","END","7","-1","2","223400","true","false","false","false","true","false","71","constraint # = 2 pathChar1_1_SYMINT == CONST_92 && pathChar1_1_SYMINT != CONST_47"
"real-commonsio-realstyle-run-2","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","5","END","8","-1","1","242500","true","false","false","false","true","false","71","constraint # = 1 pathChar1_1_SYMINT == CONST_47"
