run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators,branches_covered,max_queue_size,gc_cycles,heap_allocations_bytes,reproducible_seed
"real-commonsio-realstyle-run-1","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","82131400","2150900","79980500","5","9","9","9","8","71","0","0","7927624","42"
"real-commonsio-realstyle-run-2","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","83742400","2356000","81386400","5","9","9","9","8","71","0","0","7927520","42"
"real-commonsio-realstyle-run-3","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","80302200","2146000","78156200","5","9","9","9","8","71","0","0","7927272","42"
"real-commonsio-realstyle-run-4","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","83209800","2361500","80848300","5","9","9","9","8","71","0","0","7927376","42"
"real-commonsio-realstyle-run-5","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","81576500","2028700","79547800","5","9","9","9","8","71","0","0","7927376","42"
"real-commonsio-realstyle-run-6","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","81754700","2231100","79523600","5","9","9","9","8","71","0","0","7958680","42"
"real-commonsio-realstyle-run-7","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","82797000","2330700","80466300","5","9","9","9","8","71","0","0","7927696","42"
"real-commonsio-realstyle-run-8","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","81206600","2271200","78935400","5","9","9","9","8","71","0","0","7927504","42"
"real-commonsio-realstyle-run-9","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","98428200","4128500","94299700","5","9","9","9","8","71","0","0","7927648","42"
"real-commonsio-realstyle-run-10","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","82590800","2272700","80318100","5","9","9","9","8","71","0","0","7927696","42"
"real-commonsio-realstyle-run-11","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","92708900","2717300","89991600","5","9","9","9","8","71","0","0","7927552","42"
"real-commonsio-realstyle-run-12","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","82152800","2240200","79912600","5","9","9","9","8","71","0","0","7927592","42"
"real-commonsio-realstyle-run-13","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","83604400","2142000","81462400","5","9","9","9","8","71","0","0","7927808","42"
"real-commonsio-realstyle-run-14","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","79482300","2198300","77284000","5","9","9","9","8","71","0","0","7927320","42"
"real-commonsio-realstyle-run-15","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","82179800","2240200","79939600","5","9","9","9","8","71","0","0","7927336","42"
"real-commonsio-realstyle-run-16","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","84055400","2315800","81739600","5","9","9","9","8","71","0","0","7927872","42"
"real-commonsio-realstyle-run-17","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","80694100","2236900","78457200","5","9","9","9","8","71","0","0","7927272","42"
"real-commonsio-realstyle-run-18","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","84921500","2570600","82350900","5","9","9","9","8","71","0","0","7927448","42"
"real-commonsio-realstyle-run-19","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","81387700","2190300","79197400","5","9","9","9","8","71","0","0","7927472","42"
"real-commonsio-realstyle-run-20","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","81445100","2372500","79072600","5","9","9","9","8","71","0","0","7927536","42"
"real-commonsio-realstyle-run-21","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","81546500","2095500","79451000","5","9","9","9","8","71","0","0","7927384","42"
"real-commonsio-realstyle-run-22","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","80674600","2099400","78575200","5","9","9","9","8","71","0","0","7927696","42"
"real-commonsio-realstyle-run-23","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","80855100","2107900","78747200","5","9","9","9","8","71","0","0","7927760","42"
"real-commonsio-realstyle-run-24","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","83170900","2179400","80991500","5","9","9","9","8","71","0","0","7927816","42"
"real-commonsio-realstyle-run-25","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","86661100","2509600","84151500","5","9","9","9","8","71","0","0","7927584","42"
"real-commonsio-realstyle-run-26","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","83251500","2237600","81013900","5","9","9","9","8","71","0","0","7927632","42"
"real-commonsio-realstyle-run-27","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","82825400","2288100","80537300","5","9","9","9","8","71","0","0","7927312","42"
"real-commonsio-realstyle-run-28","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","83186300","2173600","81012700","5","9","9","9","8","71","0","0","7927472","42"
"real-commonsio-realstyle-run-29","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","81707000","2273900","79433100","5","9","9","9","8","71","0","0","7927520","42"
"real-commonsio-realstyle-run-30","real-commonsio-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsIoReal","92209600","2425500","89784100","5","9","9","9","8","71","0","0","7927592","42"
