run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators,branches_covered,max_queue_size,gc_cycles,heap_allocations_bytes,reproducible_seed
"real-commonslang-branchcontrol-run-1","real-commonslang-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangControl","82145800","2185700","79960100","3","5","5","5","4","68","0","0","8045008","42"
"real-commonslang-branchcontrol-run-2","real-commonslang-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangControl","78654500","1566500","77088000","3","5","5","5","4","68","0","0","8045032","42"
"real-commonslang-branchcontrol-run-3","real-commonslang-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangControl","80007400","1703400","78304000","3","5","5","5","4","68","0","0","8045256","42"
"real-commonslang-branchcontrol-run-4","real-commonslang-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangControl","79625500","1598600","78026900","3","5","5","5","4","68","0","0","8045016","42"
"real-commonslang-branchcontrol-run-5","real-commonslang-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangControl","86749000","1753800","84995200","3","5","5","5","4","68","0","0","8045024","42"
"real-commonslang-branchcontrol-run-6","real-commonslang-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangControl","80947700","1661100","79286600","3","5","5","5","4","68","0","0","8044896","42"
"real-commonslang-branchcontrol-run-7","real-commonslang-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangControl","84804900","1898500","82906400","3","5","5","5","4","68","0","0","8045224","42"
"real-commonslang-branchcontrol-run-8","real-commonslang-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangControl","84355900","2119600","82236300","3","5","5","5","4","68","0","0","8044896","42"
"real-commonslang-branchcontrol-run-9","real-commonslang-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangControl","79510300","1577800","77932500","3","5","5","5","4","68","0","0","8044720","42"
"real-commonslang-branchcontrol-run-10","real-commonslang-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangControl","80076700","1643700","78433000","3","5","5","5","4","68","0","0","8044792","42"
