run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators,branches_covered,max_queue_size,gc_cycles,heap_allocations_bytes,reproducible_seed
"real-commonslang-realstyle-run-1","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","84869900","1716200","83153700","3","5","5","5","4","68","0","0","8044824","42"
"real-commonslang-realstyle-run-2","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","80525100","1588700","78936400","3","5","5","5","4","68","0","0","8044792","42"
"real-commonslang-realstyle-run-3","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","89811100","1734800","88076300","3","5","5","5","4","68","0","0","7961360","42"
"real-commonslang-realstyle-run-4","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","84099300","1808300","82291000","3","5","5","5","4","68","0","0","8044824","42"
"real-commonslang-realstyle-run-5","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","81964900","1690200","80274700","3","5","5","5","4","68","0","0","8044760","42"
"real-commonslang-realstyle-run-6","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","81868800","1697700","80171100","3","5","5","5","4","68","0","0","8044776","42"
"real-commonslang-realstyle-run-7","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","81872500","1576200","80296300","3","5","5","5","4","68","0","0","8044824","42"
"real-commonslang-realstyle-run-8","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","85648600","2257900","83390700","3","5","5","5","4","68","0","0","8044672","42"
"real-commonslang-realstyle-run-9","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","78933800","1892600","77041200","3","5","5","5","4","68","0","0","8044672","42"
"real-commonslang-realstyle-run-10","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","84511300","1746400","82764900","3","5","5","5","4","68","0","0","8044672","42"
"real-commonslang-realstyle-run-11","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","84727000","1701400","83025600","3","5","5","5","4","68","0","0","8044760","42"
"real-commonslang-realstyle-run-12","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","85083100","2030800","83052300","3","5","5","5","4","68","0","0","8044632","42"
"real-commonslang-realstyle-run-13","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","81621500","1617600","80003900","3","5","5","5","4","68","0","0","8044592","42"
"real-commonslang-realstyle-run-14","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","97572600","2825000","94747600","3","5","5","5","4","68","0","0","8044816","42"
"real-commonslang-realstyle-run-15","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","79762400","1888400","77874000","3","5","5","5","4","68","0","0","8044624","42"
"real-commonslang-realstyle-run-16","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","79303200","1542200","77761000","3","5","5","5","4","68","0","0","8044672","42"
"real-commonslang-realstyle-run-17","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","79585700","1649200","77936500","3","5","5","5","4","68","0","0","8044624","42"
"real-commonslang-realstyle-run-18","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","78882900","1892800","76990100","3","5","5","5","4","68","0","0","9249584","42"
"real-commonslang-realstyle-run-19","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","84188500","1603100","82585400","3","5","5","5","4","68","0","0","8044616","42"
