run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators,branches_covered,max_queue_size,gc_cycles,heap_allocations_bytes,reproducible_seed
"real-commonsmath-branchcontrol-run-1","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","81641100","3552100","78089000","2","3","3","3","2","68","0","0","7927720","42"
"real-commonsmath-branchcontrol-run-2","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","77876900","3269100","74607800","2","3","3","3","2","68","0","0","7927408","42"
"real-commonsmath-branchcontrol-run-3","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","75997400","3130100","72867300","2","3","3","3","2","68","0","0","7927408","42"
"real-commonsmath-branchcontrol-run-4","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","77190700","3270300","73920400","2","3","3","3","2","68","0","0","7927512","42"
"real-commonsmath-branchcontrol-run-5","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","76271300","3281300","72990000","2","3","3","3","2","68","0","0","7927792","42"
"real-commonsmath-branchcontrol-run-6","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","79943300","3357000","76586300","2","3","3","3","2","68","0","0","8141104","42"
"real-commonsmath-branchcontrol-run-7","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","78886900","3759400","75127500","2","3","3","3","2","68","0","0","7927352","42"
"real-commonsmath-branchcontrol-run-8","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","82620400","3477600","79142800","2","3","3","3","2","68","0","0","7927408","42"
"real-commonsmath-branchcontrol-run-9","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","77634600","3286000","74348600","2","3","3","3","2","68","0","0","8141256","42"
"real-commonsmath-branchcontrol-run-10","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","95090100","4857100","90233000","2","3","3","3","2","68","0","0","7927440","42"
"real-commonsmath-branchcontrol-run-11","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","75112900","3226200","71886700","2","3","3","3","2","68","0","0","7927416","42"
"real-commonsmath-branchcontrol-run-12","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","76864300","3145800","73718500","2","3","3","3","2","68","0","0","7964576","42"
"real-commonsmath-branchcontrol-run-13","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","82098700","4126300","77972400","2","3","3","3","2","68","0","0","7927408","42"
"real-commonsmath-branchcontrol-run-14","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","77070500","3833400","73237100","2","3","3","3","2","68","0","0","7927360","42"
"real-commonsmath-branchcontrol-run-15","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","78153000","3207900","74945100","2","3","3","3","2","68","0","0","7964312","42"
"real-commonsmath-branchcontrol-run-16","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","77654300","3211200","74443100","2","3","3","3","2","68","0","0","7964200","42"
"real-commonsmath-branchcontrol-run-17","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","77505800","3505100","74000700","2","3","3","3","2","68","0","0","7927856","42"
"real-commonsmath-branchcontrol-run-18","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","76488000","3397000","73091000","2","3","3","3","2","68","0","0","7927408","42"
"real-commonsmath-branchcontrol-run-19","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","77080500","3460000","73620500","2","3","3","3","2","68","0","0","7927464","42"
"real-commonsmath-branchcontrol-run-20","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","87635700","4186100","83449600","2","3","3","3","2","68","0","0","7927760","42"
"real-commonsmath-branchcontrol-run-21","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","76825600","3261400","73564200","2","3","3","3","2","68","0","0","7927392","42"
"real-commonsmath-branchcontrol-run-22","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","82434900","3597300","78837600","2","3","3","3","2","68","0","0","7964536","42"
"real-commonsmath-branchcontrol-run-23","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","76051000","3339300","72711700","2","3","3","3","2","68","0","0","7927360","42"
"real-commonsmath-branchcontrol-run-24","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","77661500","3360900","74300600","2","3","3","3","2","68","0","0","8141720","42"
"real-commonsmath-branchcontrol-run-25","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","78769000","3206000","75563000","2","3","3","3","2","68","0","0","7927736","42"
"real-commonsmath-branchcontrol-run-26","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","78812000","3360700","75451300","2","3","3","3","2","68","0","0","8141256","42"
"real-commonsmath-branchcontrol-run-27","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","82625700","3569300","79056400","2","3","3","3","2","68","0","0","7964448","42"
"real-commonsmath-branchcontrol-run-28","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","78674900","3384200","75290700","2","3","3","3","2","68","0","0","7964440","42"
"real-commonsmath-branchcontrol-run-29","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","78122300","3190300","74932000","2","3","3","3","2","68","0","0","7927776","42"
"real-commonsmath-branchcontrol-run-30","real-commonsmath-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathControl","78725700","3548600","75177100","2","3","3","3","2","68","0","0","7964616","42"
