run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators,branches_covered,max_queue_size,gc_cycles,heap_allocations_bytes,reproducible_seed
"real-commonsmath-realstyle-run-1","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","75646300","3139200","72507100","2","3","3","3","2","68","0","0","7964552","42"
"real-commonsmath-realstyle-run-2","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","79023200","3313100","75710100","2","3","3","3","2","68","0","0","7964192","42"
"real-commonsmath-realstyle-run-3","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","77400200","3141000","74259200","2","3","3","3","2","68","0","0","7927600","42"
"real-commonsmath-realstyle-run-4","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","82299600","3905800","78393800","2","3","3","3","2","68","0","0","7927656","42"
"real-commonsmath-realstyle-run-5","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","80670100","3464300","77205800","2","3","3","3","2","68","0","0","7927464","42"
"real-commonsmath-realstyle-run-6","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","77369300","3091600","74277700","2","3","3","3","2","68","0","0","7964520","42"
"real-commonsmath-realstyle-run-7","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","77094700","3229800","73864900","2","3","3","3","2","68","0","0","7927664","42"
"real-commonsmath-realstyle-run-8","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","81078400","3646300","77432100","2","3","3","3","2","68","0","0","7927584","42"
"real-commonsmath-realstyle-run-9","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","77485600","3288800","74196800","2","3","3","3","2","68","0","0","7927608","42"
"real-commonsmath-realstyle-run-10","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","77892500","3133400","74759100","2","3","3","3","2","68","0","0","8141144","42"
"real-commonsmath-realstyle-run-11","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","81483300","3706200","77777100","2","3","3","3","2","68","0","0","7927872","42"
"real-commonsmath-realstyle-run-12","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","78994500","3427000","75567500","2","3","3","3","2","68","0","0","7964344","42"
"real-commonsmath-realstyle-run-13","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","90049800","4533900","85515900","2","3","3","3","2","68","0","0","7927920","42"
"real-commonsmath-realstyle-run-14","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","78553700","3361900","75191800","2","3","3","3","2","68","0","0","8141072","42"
"real-commonsmath-realstyle-run-15","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","76861500","3181000","73680500","2","3","3","3","2","68","0","0","7927464","42"
"real-commonsmath-realstyle-run-16","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","91152900","4675000","86477900","2","3","3","3","2","68","0","0","7927496","42"
"real-commonsmath-realstyle-run-17","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","76338800","3333400","73005400","2","3","3","3","2","68","0","0","7927520","42"
"real-commonsmath-realstyle-run-18","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","79507300","3548600","75958700","2","3","3","3","2","68","0","0","7927584","42"
"real-commonsmath-realstyle-run-19","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","76841800","3591300","73250500","2","3","3","3","2","68","0","0","8044800","42"
"real-commonsmath-realstyle-run-20","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","95716600","7569200","88147400","2","3","3","3","2","68","0","0","7927616","42"
"real-commonsmath-realstyle-run-21","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","79822400","3250900","76571500","2","3","3","3","2","68","0","0","7964240","42"
"real-commonsmath-realstyle-run-22","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","75789300","3220500","72568800","2","3","3","3","2","68","0","0","7927608","42"
"real-commonsmath-realstyle-run-23","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","79370000","3239200","76130800","2","3","3","3","2","68","0","0","7927544","42"
"real-commonsmath-realstyle-run-24","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","76976800","3251300","73725500","2","3","3","3","2","68","0","0","7927464","42"
"real-commonsmath-realstyle-run-25","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","86042900","3857200","82185700","2","3","3","3","2","68","0","0","7927912","42"
"real-commonsmath-realstyle-run-26","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","81198800","3400200","77798600","2","3","3","3","2","68","0","0","7964424","42"
"real-commonsmath-realstyle-run-27","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","81398900","3743400","77655500","2","3","3","3","2","68","0","0","7964312","42"
"real-commonsmath-realstyle-run-28","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","81903500","4521100","77382400","2","3","3","3","2","68","0","0","7927560","42"
"real-commonsmath-realstyle-run-29","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","84093000","3741600","80351400","2","3","3","3","2","68","0","0","7927856","42"
"real-commonsmath-realstyle-run-30","real-commonsmath-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsMathReal","90102400","3452200","86650200","2","3","3","3","2","68","0","0","7927464","42"
