run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators,branches_covered,max_queue_size,gc_cycles,heap_allocations_bytes,reproducible_seed
"real-gson-branchcontrol-run-1","real-gson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterControl","90925600","2839300","88086300","5","9","9","9","8","68","0","0","9248776","42"
"real-gson-branchcontrol-run-2","real-gson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterControl","94945500","3474600","91470900","5","9","9","9","8","68","0","0","9249312","42"
"real-gson-branchcontrol-run-3","real-gson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterControl","84218500","2322600","81895900","5","9","9","9","8","68","0","0","9248736","42"
"real-gson-branchcontrol-run-4","real-gson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterControl","84093800","2327100","81766700","5","9","9","9","8","68","0","0","9248864","42"
"real-gson-branchcontrol-run-5","real-gson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterControl","87250500","2443200","84807300","5","9","9","9","8","68","0","0","9249056","42"
"real-gson-branchcontrol-run-6","real-gson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterControl","84418400","2609500","81808900","5","9","9","9","8","68","0","0","9249112","42"
"real-gson-branchcontrol-run-7","real-gson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterControl","95919500","3323100","92596400","5","9","9","9","8","68","0","0","9272400","42"
"real-gson-branchcontrol-run-8","real-gson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterControl","82587900","2585500","80002400","5","9","9","9","8","68","0","0","9248864","42"
"real-gson-branchcontrol-run-9","real-gson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterControl","86540000","2527500","84012500","5","9","9","9","8","68","0","0","9248992","42"
"real-gson-branchcontrol-run-10","real-gson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterControl","91185100","3020300","88164800","5","9","9","9","8","68","0","0","9248744","42"
"real-gson-branchcontrol-run-11","real-gson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterControl","100377100","5130300","95246800","5","9","9","9","8","68","0","0","9249048","42"
"real-gson-branchcontrol-run-12","real-gson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterControl","87074900","2753600","84321300","5","9","9","9","8","68","0","0","9248960","42"
