run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators,branches_covered,max_queue_size,gc_cycles,heap_allocations_bytes,reproducible_seed
"real-gson-realstyle-run-1","real-gson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterReal","89218100","2855800","86362300","5","9","9","9","8","68","0","0","9249136","42"
"real-gson-realstyle-run-2","real-gson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterReal","85340500","2298500","83042000","5","9","9","9","8","68","0","0","9248592","42"
"real-gson-realstyle-run-3","real-gson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterReal","92144800","2911200","89233600","5","9","9","9","8","68","0","0","9249136","42"
"real-gson-realstyle-run-4","real-gson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterReal","84203800","2334600","81869200","5","9","9","9","8","68","0","0","9248608","42"
"real-gson-realstyle-run-5","real-gson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterReal","87048200","2670200","84378000","5","9","9","9","8","68","0","0","9248728","42"
"real-gson-realstyle-run-6","real-gson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterReal","92397900","3570800","88827100","5","9","9","9","8","68","0","0","9248816","42"
"real-gson-realstyle-run-7","real-gson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterReal","119140200","6710600","112429600","5","9","9","9","8","68","0","0","9249080","42"
"real-gson-realstyle-run-8","real-gson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterReal","83445900","2664200","80781700","5","9","9","9","8","68","0","0","9248760","42"
"real-gson-realstyle-run-9","real-gson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterReal","108370800","5835200","102535600","5","9","9","9","8","68","0","0","9248784","42"
"real-gson-realstyle-run-10","real-gson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterReal","88307800","2490900","85816900","5","9","9","9","8","68","0","0","9249080","42"
"real-gson-realstyle-run-11","real-gson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterReal","85741000","2743500","82997500","5","9","9","9","8","68","0","0","9248792","42"
"real-gson-realstyle-run-12","real-gson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterReal","87609200","2894400","84714800","5","9","9","9","8","68","0","0","9248640","42"
"real-gson-realstyle-run-13","real-gson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterReal","87447800","2815800","84632000","5","9","9","9","8","68","0","0","9248824","42"
"real-gson-realstyle-run-14","real-gson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterReal","84756900","2378600","82378300","5","9","9","9","8","68","0","0","9249064","42"
"real-gson-realstyle-run-15","real-gson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.gsonJsonWriterReal","84647500","2722000","81925500","5","9","9","9","8","68","0","0","9248800","42"
