run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators,branches_covered,max_queue_size,gc_cycles,heap_allocations_bytes,reproducible_seed
"real-guava-branchcontrol-run-1","real-guava-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsControl","78966900","1583600","77383300","3","5","5","5","4","68","0","0","9282336","42"
"real-guava-branchcontrol-run-2","real-guava-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsControl","79666400","1540200","78126200","3","5","5","5","4","68","0","0","9282632","42"
"real-guava-branchcontrol-run-3","real-guava-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsControl","82927500","1450400","81477100","3","5","5","5","4","68","0","0","9249184","42"
"real-guava-branchcontrol-run-4","real-guava-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsControl","100591800","3462300","97129500","3","5","5","5","4","68","0","0","9249032","42"
"real-guava-branchcontrol-run-5","real-guava-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsControl","78895600","1354700","77540900","3","5","5","5","4","68","0","0","9248896","42"
"real-guava-branchcontrol-run-6","real-guava-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsControl","82516700","1511200","81005500","3","5","5","5","4","68","0","0","9351288","42"
"real-guava-branchcontrol-run-7","real-guava-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsControl","84251500","1627800","82623700","3","5","5","5","4","68","0","0","9248808","42"
"real-guava-branchcontrol-run-8","real-guava-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsControl","80212300","1524800","78687500","3","5","5","5","4","68","0","0","9282320","42"
"real-guava-branchcontrol-run-9","real-guava-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsControl","85647700","1478200","84169500","3","5","5","5","4","68","0","0","9248752","42"
"real-guava-branchcontrol-run-10","real-guava-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsControl","83554100","1806700","81747400","3","5","5","5","4","68","0","0","9351168","42"
"real-guava-branchcontrol-run-11","real-guava-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsControl","96805500","2133700","94671800","3","5","5","5","4","68","0","0","9351456","42"
