run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators,branches_covered,max_queue_size,gc_cycles,heap_allocations_bytes,reproducible_seed
"real-guava-realstyle-run-1","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","86157000","1614400","84542600","3","5","5","5","4","68","0","0","9248664","42"
"real-guava-realstyle-run-2","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","88155900","1624400","86531500","3","5","5","5","4","68","0","0","9351648","42"
"real-guava-realstyle-run-3","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","87531400","1855700","85675700","3","5","5","5","4","68","0","0","9351808","42"
"real-guava-realstyle-run-4","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","85755900","1421200","84334700","3","5","5","5","4","68","0","0","9248736","42"
"real-guava-realstyle-run-5","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","91235900","1800500","89435400","3","5","5","5","4","68","0","0","9351648","42"
"real-guava-realstyle-run-6","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","85806300","1681300","84125000","3","5","5","5","4","68","0","0","9351720","42"
"real-guava-realstyle-run-7","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","87145600","1590500","85555100","3","5","5","5","4","68","0","0","9248504","42"
"real-guava-realstyle-run-8","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","83485400","1588100","81897300","3","5","5","5","4","68","0","0","9282264","42"
"real-guava-realstyle-run-9","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","84304900","2066500","82238400","3","5","5","5","4","68","0","0","9248712","42"
"real-guava-realstyle-run-10","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","84708900","1582500","83126400","3","5","5","5","4","68","0","0","9286024","42"
"real-guava-realstyle-run-11","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","82044200","1500500","80543700","3","5","5","5","4","68","0","0","9282312","42"
"real-guava-realstyle-run-12","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","88138400","1664800","86473600","3","5","5","5","4","68","0","0","9248584","42"
"real-guava-realstyle-run-13","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","81533100","1422700","80110400","3","5","5","5","4","68","0","0","9248576","42"
"real-guava-realstyle-run-14","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","90193000","2192200","88000800","3","5","5","5","4","68","0","0","9282344","42"
"real-guava-realstyle-run-15","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","84517600","1639000","82878600","3","5","5","5","4","68","0","0","9314232","42"
"real-guava-realstyle-run-16","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","123158700","3473100","119685600","3","5","5","5","4","68","0","0","9282488","42"
"real-guava-realstyle-run-17","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","82721900","1681200","81040700","3","5","5","5","4","68","0","0","9351656","42"
"real-guava-realstyle-run-18","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","90701900","1696200","89005700","3","5","5","5","4","68","0","0","9351464","42"
"real-guava-realstyle-run-19","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","90486400","1739100","88747300","3","5","5","5","4","68","0","0","9282288","42"
"real-guava-realstyle-run-20","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","83629800","1718400","81911400","3","5","5","5","4","68","0","0","9351448","42"
"real-guava-realstyle-run-21","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","86457400","1612200","84845200","3","5","5","5","4","68","0","0","9248696","42"
"real-guava-realstyle-run-22","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","87315100","2321800","84993300","3","5","5","5","4","68","0","0","9314136","42"
"real-guava-realstyle-run-23","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","94111900","2004600","92107300","3","5","5","5","4","68","0","0","9282200","42"
"real-guava-realstyle-run-24","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","82209100","1440400","80768700","3","5","5","5","4","68","0","0","9351304","42"
"real-guava-realstyle-run-25","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","81021300","1470500","79550800","3","5","5","5","4","68","0","0","9248848","42"
"real-guava-realstyle-run-26","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","81776700","1550400","80226300","3","5","5","5","4","68","0","0","9248664","42"
"real-guava-realstyle-run-27","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","86591300","1906700","84684600","3","5","5","5","4","68","0","0","9351504","42"
"real-guava-realstyle-run-28","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","88178700","1995600","86183100","3","5","5","5","4","68","0","0","9314016","42"
"real-guava-realstyle-run-29","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","85259100","1521400","83737700","3","5","5","5","4","68","0","0","9248760","42"
"real-guava-realstyle-run-30","real-guava-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.guavaPreconditionsReal","96902600","2113900","94788700","3","5","5","5","4","68","0","0","9282344","42"
