run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators,branches_covered,max_queue_size,gc_cycles,heap_allocations_bytes,reproducible_seed
"real-jackson-branchcontrol-run-1","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","115265100","3045700","112219400","5","9","9","9","8","68","0","0","9248800","42"
"real-jackson-branchcontrol-run-2","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","114415200","2934400","111480800","5","9","9","9","8","68","0","0","9249064","42"
"real-jackson-branchcontrol-run-3","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","131750700","3742800","128007900","5","9","9","9","8","68","0","0","9249240","42"
"real-jackson-branchcontrol-run-4","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","139361200","5251500","134109700","5","9","9","9","8","68","0","0","9249016","42"
"real-jackson-branchcontrol-run-5","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","145177700","7151500","138026200","5","9","9","9","8","68","0","0","9249272","42"
"real-jackson-branchcontrol-run-6","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","139342800","4443200","134899600","5","9","9","9","8","68","0","0","9248720","42"
"real-jackson-branchcontrol-run-7","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","122989800","3152200","119837600","5","9","9","9","8","68","0","0","9248824","42"
"real-jackson-branchcontrol-run-8","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","135538500","3449800","132088700","5","9","9","9","8","68","0","0","9249056","42"
"real-jackson-branchcontrol-run-9","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","120303900","3443900","116860000","5","9","9","9","8","68","0","0","9248768","42"
"real-jackson-branchcontrol-run-10","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","115473500","2655800","112817700","5","9","9","9","8","68","0","0","9248728","42"
"real-jackson-branchcontrol-run-11","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","134613200","4459200","130154000","5","9","9","9","8","68","0","0","9248800","42"
"real-jackson-branchcontrol-run-12","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","115563900","2636600","112927300","5","9","9","9","8","68","0","0","9248904","42"
"real-jackson-branchcontrol-run-13","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","118494500","3077900","115416600","5","9","9","9","8","68","0","0","9248872","42"
"real-jackson-branchcontrol-run-14","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","123093900","3314300","119779600","5","9","9","9","8","68","0","0","9248720","42"
"real-jackson-branchcontrol-run-15","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","121636300","3751400","117884900","5","9","9","9","8","68","0","0","9248872","42"
"real-jackson-branchcontrol-run-16","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","126041900","2790200","123251700","5","9","9","9","8","68","0","0","9248616","42"
"real-jackson-branchcontrol-run-17","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","125174000","3489500","121684500","5","9","9","9","8","68","0","0","9249072","42"
"real-jackson-branchcontrol-run-18","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","122128800","2954700","119174100","5","9","9","9","8","68","0","0","9248816","42"
"real-jackson-branchcontrol-run-19","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","115908000","3097600","112810400","5","9","9","9","8","68","0","0","9248832","42"
"real-jackson-branchcontrol-run-20","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","115354900","2998200","112356700","5","9","9","9","8","68","0","0","9248752","42"
"real-jackson-branchcontrol-run-21","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","123318600","2977200","120341400","5","9","9","9","8","68","0","0","9248760","42"
"real-jackson-branchcontrol-run-22","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","117987500","2856400","115131100","5","9","9","9","8","68","0","0","9248552","42"
"real-jackson-branchcontrol-run-23","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","121237500","3268100","117969400","5","9","9","9","8","68","0","0","9333112","42"
"real-jackson-branchcontrol-run-24","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","124597900","3216600","121381300","5","9","9","9","8","68","0","0","9248904","42"
"real-jackson-branchcontrol-run-25","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","122967500","3257300","119710200","5","9","9","9","8","68","0","0","9248840","42"
"real-jackson-branchcontrol-run-26","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","121429400","3249300","118180100","5","9","9","9","8","68","0","0","9248592","42"
"real-jackson-branchcontrol-run-27","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","122459600","2935000","119524600","5","9","9","9","8","68","0","0","9332624","42"
"real-jackson-branchcontrol-run-28","real-jackson-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Control","119528200","3001600","116526600","5","9","9","9","8","68","0","0","9248872","42"
