run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators,branches_covered,max_queue_size,gc_cycles,heap_allocations_bytes,reproducible_seed
"real-jackson-realstyle-run-1","real-jackson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Real","132717800","4212500","128505300","5","9","9","9","8","68","0","0","9300816","42"
"real-jackson-realstyle-run-2","real-jackson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Real","134204600","3702600","130502000","5","9","9","9","8","68","0","0","9300760","42"
"real-jackson-realstyle-run-3","real-jackson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Real","118873000","3345600","115527400","5","9","9","9","8","68","0","0","9301112","42"
"real-jackson-realstyle-run-4","real-jackson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Real","118794800","4280300","114514500","5","9","9","9","8","68","0","0","9300712","42"
"real-jackson-realstyle-run-5","real-jackson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Real","121661600","3713400","117948200","5","9","9","9","8","68","0","0","9301104","42"
"real-jackson-realstyle-run-6","real-jackson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Real","127488900","3448300","124040600","5","9","9","9","8","68","0","0","9333152","42"
"real-jackson-realstyle-run-7","real-jackson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Real","122917800","3867800","119050000","5","9","9","9","8","68","0","0","9248896","42"
"real-jackson-realstyle-run-8","real-jackson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Real","122467000","3489300","118977700","5","9","9","9","8","68","0","0","9248816","42"
"real-jackson-realstyle-run-9","real-jackson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Real","122017800","3467500","118550300","5","9","9","9","8","68","0","0","9258008","42"
"real-jackson-realstyle-run-10","real-jackson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Real","133605200","4044400","129560800","5","9","9","9","8","68","0","0","9300744","42"
"real-jackson-realstyle-run-11","real-jackson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Real","121401500","2881500","118520000","5","9","9","9","8","68","0","0","9301120","42"
"real-jackson-realstyle-run-12","real-jackson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Real","113948600","3229600","110719000","5","9","9","9","8","68","0","0","9248936","42"
"real-jackson-realstyle-run-13","real-jackson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Real","126396100","3535300","122860800","5","9","9","9","8","68","0","0","9258176","42"
"real-jackson-realstyle-run-14","real-jackson-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jacksonUtf8Real","123923400","2989200","120934200","5","9","9","9","8","68","0","0","9248864","42"
