run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators,branches_covered,max_queue_size,gc_cycles,heap_allocations_bytes,reproducible_seed
"real-jodatime-branchcontrol-run-1","real-jodatime-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateControl","82679100","2146800","80532300","3","5","5","5","4","68","0","0","7980192","42"
"real-jodatime-branchcontrol-run-2","real-jodatime-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateControl","75725000","1389100","74335900","3","5","5","5","4","68","0","0","7980304","42"
"real-jodatime-branchcontrol-run-3","real-jodatime-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateControl","76005600","1421100","74584500","3","5","5","5","4","68","0","0","7979696","42"
"real-jodatime-branchcontrol-run-4","real-jodatime-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateControl","74663300","1293900","73369400","3","5","5","5","4","68","0","0","7927608","42"
"real-jodatime-branchcontrol-run-5","real-jodatime-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateControl","74528100","1487900","73040200","3","5","5","5","4","68","0","0","7927552","42"
"real-jodatime-branchcontrol-run-6","real-jodatime-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateControl","74399400","1446600","72952800","3","5","5","5","4","68","0","0","7928096","42"
"real-jodatime-branchcontrol-run-7","real-jodatime-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateControl","77973700","2086500","75887200","3","5","5","5","4","68","0","0","7979640","42"
"real-jodatime-branchcontrol-run-8","real-jodatime-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateControl","80102900","1559600","78543300","3","5","5","5","4","68","0","0","7927680","42"
"real-jodatime-branchcontrol-run-9","real-jodatime-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateControl","73146900","1637400","71509500","3","5","5","5","4","68","0","0","7927944","42"
"real-jodatime-branchcontrol-run-10","real-jodatime-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateControl","80788700","1692400","79096300","3","5","5","5","4","68","0","0","7927416","42"
