run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators,branches_covered,max_queue_size,gc_cycles,heap_allocations_bytes,reproducible_seed
"real-jodatime-realstyle-run-1","real-jodatime-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateReal","89210600","1921200","87289400","3","5","5","5","4","68","0","0","9249024","42"
"real-jodatime-realstyle-run-2","real-jodatime-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateReal","84436900","1576700","82860200","3","5","5","5","4","68","0","0","9300832","42"
"real-jodatime-realstyle-run-3","real-jodatime-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateReal","80919900","1581200","79338700","3","5","5","5","4","68","0","0","9248872","42"
"real-jodatime-realstyle-run-4","real-jodatime-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateReal","89276300","2312600","86963700","3","5","5","5","4","68","0","0","9300760","42"
"real-jodatime-realstyle-run-5","real-jodatime-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateReal","91317500","1702300","89615200","3","5","5","5","4","68","0","0","9249064","42"
"real-jodatime-realstyle-run-6","real-jodatime-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateReal","84519100","2038100","82481000","3","5","5","5","4","68","0","0","9300792","42"
"real-jodatime-realstyle-run-7","real-jodatime-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateReal","87913000","1883400","86029600","3","5","5","5","4","68","0","0","9301104","42"
"real-jodatime-realstyle-run-8","real-jodatime-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateReal","80856800","1575100","79281700","3","5","5","5","4","68","0","0","9249768","42"
"real-jodatime-realstyle-run-9","real-jodatime-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateReal","79094900","1750000","77344900","3","5","5","5","4","68","0","0","9248896","42"
"real-jodatime-realstyle-run-10","real-jodatime-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateReal","78063600","1505500","76558100","3","5","5","5","4","68","0","0","9249136","42"
"real-jodatime-realstyle-run-11","real-jodatime-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateReal","76747200","1402400","75344800","3","5","5","5","4","68","0","0","9300992","42"
"real-jodatime-realstyle-run-12","real-jodatime-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateReal","86985600","1966500","85019100","3","5","5","5","4","68","0","0","9248928","42"
"real-jodatime-realstyle-run-13","real-jodatime-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateReal","83653500","2120600","81532900","3","5","5","5","4","68","0","0","9301184","42"
"real-jodatime-realstyle-run-14","real-jodatime-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateReal","86466500","1603900","84862600","3","5","5","5","4","68","0","0","9301048","42"
"real-jodatime-realstyle-run-15","real-jodatime-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateReal","85366700","1566500","83800200","3","5","5","5","4","68","0","0","9301144","42"
"real-jodatime-realstyle-run-16","real-jodatime-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.jodaLocalDateReal","89727800","2172000","87555800","3","5","5","5","4","68","0","0","9248720","42"
