run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators,branches_covered,max_queue_size,gc_cycles,heap_allocations_bytes,reproducible_seed
"real-slf4j-branchcontrol-run-1","real-slf4j-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jControl","78566100","3322400","75243700","3","5","5","5","4","68","0","0","7927448","42"
"real-slf4j-branchcontrol-run-2","real-slf4j-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jControl","73901600","3010700","70890900","3","5","5","5","4","68","0","0","7927384","42"
"real-slf4j-branchcontrol-run-3","real-slf4j-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jControl","77286100","3217800","74068300","3","5","5","5","4","68","0","0","7927472","42"
"real-slf4j-branchcontrol-run-4","real-slf4j-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jControl","75674900","3222000","72452900","3","5","5","5","4","68","0","0","7927800","42"
"real-slf4j-branchcontrol-run-5","real-slf4j-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jControl","78247000","4727800","73519200","3","5","5","5","4","68","0","0","7927568","42"
"real-slf4j-branchcontrol-run-6","real-slf4j-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jControl","76381200","3120000","73261200","3","5","5","5","4","68","0","0","7927656","42"
"real-slf4j-branchcontrol-run-7","real-slf4j-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jControl","77736400","3147700","74588700","3","5","5","5","4","68","0","0","7964568","42"
"real-slf4j-branchcontrol-run-8","real-slf4j-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jControl","80939400","3151100","77788300","3","5","5","5","4","68","0","0","7927520","42"
"real-slf4j-branchcontrol-run-9","real-slf4j-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jControl","76421300","3090300","73331000","3","5","5","5","4","68","0","0","7927456","42"
"real-slf4j-branchcontrol-run-10","real-slf4j-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jControl","82780700","3359200","79421500","3","5","5","5","4","68","0","0","7927896","42"
"real-slf4j-branchcontrol-run-11","real-slf4j-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jControl","77289600","3111200","74178400","3","5","5","5","4","68","0","0","7927712","42"
"real-slf4j-branchcontrol-run-12","real-slf4j-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jControl","111277200","5397200","105880000","3","5","5","5","4","68","0","0","7927688","42"
"real-slf4j-branchcontrol-run-13","real-slf4j-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jControl","80413100","3391300","77021800","3","5","5","5","4","68","0","0","7927480","42"
"real-slf4j-branchcontrol-run-14","real-slf4j-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jControl","77988400","3025300","74963100","3","5","5","5","4","68","0","0","7928160","42"
"real-slf4j-branchcontrol-run-15","real-slf4j-branchcontrol","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jControl","84519000","4058400","80460600","3","5","5","5","4","68","0","0","7927576","42"
