run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators,branches_covered,max_queue_size,gc_cycles,heap_allocations_bytes,reproducible_seed
"real-slf4j-realstyle-run-1","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","80960700","3310600","77650100","3","5","5","5","4","68","0","0","7927536","42"
"real-slf4j-realstyle-run-2","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","80192800","3184100","77008700","3","5","5","5","4","68","0","0","7964432","42"
"real-slf4j-realstyle-run-3","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","76470000","3107000","73363000","3","5","5","5","4","68","0","0","7996656","42"
"real-slf4j-realstyle-run-4","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","80590000","3436700","77153300","3","5","5","5","4","68","0","0","7964600","42"
"real-slf4j-realstyle-run-5","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","79974700","3456800","76517900","3","5","5","5","4","68","0","0","7927592","42"
"real-slf4j-realstyle-run-6","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","81961900","3733700","78228200","3","5","5","5","4","68","0","0","7927792","42"
"real-slf4j-realstyle-run-7","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","82669900","3555500","79114400","3","5","5","5","4","68","0","0","7996432","42"
"real-slf4j-realstyle-run-8","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","83201100","3270800","79930300","3","5","5","5","4","68","0","0","7996328","42"
"real-slf4j-realstyle-run-9","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","79665000","3151000","76514000","3","5","5","5","4","68","0","0","7927720","42"
"real-slf4j-realstyle-run-10","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","77118800","3046700","74072100","3","5","5","5","4","68","0","0","7927760","42"
"real-slf4j-realstyle-run-11","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","80722500","3330700","77391800","3","5","5","5","4","68","0","0","7996328","42"
"real-slf4j-realstyle-run-12","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","80257800","3329300","76928500","3","5","5","5","4","68","0","0","7927656","42"
"real-slf4j-realstyle-run-13","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","82286800","3699000","78587800","3","5","5","5","4","68","0","0","7927472","42"
"real-slf4j-realstyle-run-14","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","78924800","3063100","75861700","3","5","5","5","4","68","0","0","7927600","42"
"real-slf4j-realstyle-run-15","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","81698300","3487200","78211100","3","5","5","5","4","68","0","0","7996720","42"
"real-slf4j-realstyle-run-16","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","79037500","3477100","75560400","3","5","5","5","4","68","0","0","7996280","42"
"real-slf4j-realstyle-run-17","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","80914300","3307600","77606700","3","5","5","5","4","68","0","0","7996520","42"
"real-slf4j-realstyle-run-18","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","78472600","3375000","75097600","3","5","5","5","4","68","0","0","7996544","42"
"real-slf4j-realstyle-run-19","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","75517400","3071500","72445900","3","5","5","5","4","68","0","0","7927864","42"
"real-slf4j-realstyle-run-20","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","78004300","3102300","74902000","3","5","5","5","4","68","0","0","7927624","42"
"real-slf4j-realstyle-run-21","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","77056600","3224200","73832400","3","5","5","5","4","68","0","0","7927816","42"
"real-slf4j-realstyle-run-22","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","80912300","3401400","77510900","3","5","5","5","4","68","0","0","7964560","42"
"real-slf4j-realstyle-run-23","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","76544300","3237000","73307300","3","5","5","5","4","68","0","0","7928088","42"
"real-slf4j-realstyle-run-24","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","80065300","3446400","76618900","3","5","5","5","4","68","0","0","7996328","42"
"real-slf4j-realstyle-run-25","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","73854400","3184800","70669600","3","5","5","5","4","68","0","0","7996336","42"
"real-slf4j-realstyle-run-26","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","77472900","3475400","73997500","3","5","5","5","4","68","0","0","7996184","42"
"real-slf4j-realstyle-run-27","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","73317000","3069300","70247700","3","5","5","5","4","68","0","0","7927688","42"
"real-slf4j-realstyle-run-28","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","74319600","3171900","71147700","3","5","5","5","4","68","0","0","7927832","42"
"real-slf4j-realstyle-run-29","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","82783700","3414100","79369600","3","5","5","5","4","68","0","0","7927728","42"
"real-slf4j-realstyle-run-30","real-slf4j-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.slf4jReal","78570600","3381700","75188900","3","5","5","5","4","68","0","0","7927600","42"
