strategy,budget_states,median_elapsed_ms,median_engine_ms,median_solver_ms,median_paths,median_states
BFS,5,123.27,121.95,1.32,1,7
BFS,10,160.48,159.21,1.58,1,12
BFS,20,144.09,142.81,1.44,1,22
BFS,50,253.60,251.90,2.22,1,52
BFS,100,296.21,294.09,2.45,1,102
BFS,200,541.01,531.57,11.26,12,202
BFS,500,944.38,882.46,61.70,92,502
DFS,5,122.79,120.37,1.49,1,7
DFS,10,147.06,145.13,1.88,1,12
DFS,20,245.55,236.15,7.09,7,22
DFS,50,354.57,336.90,17.91,22,52
DFS,100,432.85,394.26,38.59,47,102
DFS,200,680.03,607.35,65.04,97,202
DFS,500,1358.24,1212.68,143.92,246,502
SCI,5,118.34,117.27,1.34,1,7
SCI,10,133.25,130.25,1.57,1,12
SCI,20,145.52,144.28,1.43,1,22
SCI,50,218.26,216.69,2.01,1,52
SCI,100,307.00,304.22,2.79,1,102
SCI,200,497.60,473.86,24.64,32,202
SCI,500,1059.62,970.78,88.84,124,502
